"site_id","site_name","chegd_total","ir_visite_1","ir_visite_2","ir_visite_3","ir_visite_4","ir_moyen"
1,"Pelouse 1",3,1,1,1,0,0.75
2,"Pelouse 2",1,1,1,1,0,0.75
3,"Pelouse 3",6,0.333333333333333,0.833333333333333,0.833333333333333,1,0.75
4,"Pelouse 4",6,1,0.5,0.5,1,0.75
5,"Pelouse 5",7,1,0.285714285714286,0.714285714285714,1,0.75
6,"Pelouse 6",0,0,0,0,0,0
7,"Pelouse 7",1,1,0,1,1,0.75
8,"Pelouse 8",0,0,0,0,0,0
9,"Pelouse 9",0,0,0,0,0,0
10,"Pelouse 10",0,0,0,0,0,0
11,"Pelouse 11",0,0,0,0,0,0
12,"Pelouse 12",0,0,0,0,0,0
13,"Pelouse 13",0,0,0,0,0,0
14,"Pelouse 14",0,0,0,0,0,0
15,"Pelouse 15",0,0,0,0,0,0
16,"Pelouse 16",5,1,0.2,0.8,1,0.75
17,"Pelouse 17",0,0,0,0,0,0
18,"Pelouse 18",0,0,0,0,0,0
19,"Pelouse 19",0,0,0,0,0,0
20,"Pelouse 20",6,1,0.5,0.5,1,0.75
