"site_id","site_name","chegd_clavaria","chegd_hygrocybe_cuphophyllus","chegd_entoloma","chegd_geoglossaceae","chegd_dermoloma_porpoloma_camarophyllopsis","indice_patrimonial","classe_patrimoniale"
1,"Pelouse 1",0,3,0,0,0,3,"Intérêt local"
2,"Pelouse 2",0,1,0,0,0,1,"Intérêt faible"
3,"Pelouse 3",0,4,0,0,0,4,"Intérêt local"
4,"Pelouse 4",0,3,0,0,0,3,"Intérêt local"
5,"Pelouse 5",0,5,0,0,0,5,"Intérêt local"
6,"Pelouse 6",0,0,0,0,0,0,"Intérêt faible"
7,"Pelouse 7",0,1,0,0,0,1,"Intérêt faible"
8,"Pelouse 8",0,0,0,0,0,0,"Intérêt faible"
9,"Pelouse 9",0,0,0,0,0,0,"Intérêt faible"
10,"Pelouse 10",0,0,0,0,0,0,"Intérêt faible"
11,"Pelouse 11",0,0,0,0,0,0,"Intérêt faible"
12,"Pelouse 12",0,0,0,0,0,0,"Intérêt faible"
13,"Pelouse 13",0,0,0,0,0,0,"Intérêt faible"
14,"Pelouse 14",0,0,0,0,0,0,"Intérêt faible"
15,"Pelouse 15",0,0,0,0,0,0,"Intérêt faible"
16,"Pelouse 16",0,4,0,0,0,4,"Intérêt local"
17,"Pelouse 17",0,0,0,0,0,0,"Intérêt faible"
18,"Pelouse 18",0,0,0,0,0,0,"Intérêt faible"
19,"Pelouse 19",0,0,0,0,0,0,"Intérêt faible"
20,"Pelouse 20",0,4,0,0,0,4,"Intérêt local"
