"Famille","nb_especes_uniques","abondance_totale"
"Hygrophoraceae",8,112
"Agaricaceae",4,10
"Tubariaceae",4,10
"Bolbitiaceae",3,6
"Strophariaceae",3,6
"Clitocybaceae",3,5
"Mycenaceae",3,4
"Galeropsidaceae",2,11
"Psathyrellaceae",2,9
"Polyporaceae",1,12
"Stereaceae",1,12
"Physalacriaceae",1,5
"Tapinellaceae",1,3
"Tricholomataceae",1,3
"Boletaceae",1,2
"Hymenogastraceae",1,2
"Pluteaceae",1,2
"Tulostomataceae",1,2
"Marasmiaceae",1,1
"Russulaceae",1,1
"Strophariaceae ",1,1
"https://fongibase.fongifrance.fr/",1,0
"https://https://idf.fongifrance.fr",1,0
