visite_index,visite_id,date,nb_especes_trouvees,nb_nouvelles,nb_cumule
1,V1,2004-10-02,47,47,47
2,V2,2004-10-10,52,45,92
3,V3,2004-10-17,48,29,121
4,V4,2004-10-22,44,20,141
5,V5,2004-10-29,44,22,163
6,V6,2004-11-08,55,31,194
7,V7,2005-08-23,43,17,211
8,V8,2005-08-25,56,21,232
9,V9,2005-08-28,50,21,253
10,V10,2005-08-30,60,19,272
11,V11,2005-09-11,56,21,293
12,V12,2005-09-13,47,13,306
13,V13,2005-09-14,53,16,322
14,V14,2005-09-16,49,10,332
15,V15,2005-09-18,62,13,345
16,V16,2005-09-20,48,16,361
17,V17,2005-09-26,61,10,371
18,V18,2005-09-29,52,10,381
19,V19,2005-09-30,64,12,393
20,V20,2005-10-01,51,10,403
21,V21,2005-10-03,53,11,414
22,V22,2005-10-05,45,10,424
23,V23,2005-10-07,48,4,428
24,V24,2005-10-08,52,7,435
25,V25,2005-10-10,49,6,441
26,V26,2005-10-12,51,8,449
27,V27,2005-10-14,49,5,454
28,V28,2005-10-15,56,1,455
29,V29,2005-10-16,59,11,466
30,V30,2005-10-18,43,6,472
31,V31,2005-10-20,52,7,479
32,V32,2005-11-12,57,7,486
33,V1,2025-09-10,2,2,488
34,V1,2025-09-11,2,2,490
35,V2,2025-09-17,2,1,491
36,V2,2025-09-18,1,1,492
37,V3,2025-09-24,1,0,492
38,V3,2025-09-25,1,1,493
39,V4,2025-10-01,1,0,493
40,V4,2025-10-02,1,0,493
41,V5,2025-10-08,1,0,493
42,V5,2025-10-09,1,1,494
43,V6,2025-10-15,1,1,495
44,V6,2025-10-16,1,1,496
45,V7,2025-10-22,1,1,497
46,V7,2025-10-23,1,1,498
47,V8,2025-10-30,1,0,498
