visite_index,visite_id,date,nb_total,nb_esp_1fois,TEE,Ir
1,V1,2004-10-02,47,47,1,0
2,V2,2004-10-10,92,85,0.9239130434782609,0.07608695652173914
3,V3,2004-10-17,121,99,0.8181818181818182,0.18181818181818177
4,V4,2004-10-22,141,103,0.7304964539007093,0.2695035460992907
5,V5,2004-10-29,163,111,0.6809815950920245,0.3190184049079755
6,V6,2004-11-08,194,131,0.6752577319587629,0.32474226804123707
7,V7,2005-08-23,211,136,0.6445497630331753,0.35545023696682465
8,V8,2005-08-25,232,144,0.6206896551724138,0.3793103448275862
9,V9,2005-08-28,253,153,0.6047430830039525,0.3952569169960475
10,V10,2005-08-30,272,153,0.5625,0.4375
11,V11,2005-09-11,293,156,0.5324232081911263,0.4675767918088737
12,V12,2005-09-13,306,159,0.5196078431372549,0.48039215686274506
13,V13,2005-09-14,322,165,0.5124223602484472,0.48757763975155277
14,V14,2005-09-16,332,167,0.5030120481927711,0.4969879518072289
15,V15,2005-09-18,345,168,0.48695652173913045,0.5130434782608695
16,V16,2005-09-20,361,179,0.49584487534626037,0.5041551246537397
17,V17,2005-09-26,371,173,0.46630727762803237,0.5336927223719676
18,V18,2005-09-29,381,174,0.4566929133858268,0.5433070866141732
19,V19,2005-09-30,393,178,0.4529262086513995,0.5470737913486006
20,V20,2005-10-01,403,182,0.45161290322580644,0.5483870967741935
21,V21,2005-10-03,414,188,0.45410628019323673,0.5458937198067633
22,V22,2005-10-05,424,194,0.45754716981132076,0.5424528301886793
23,V23,2005-10-07,428,191,0.4462616822429907,0.5537383177570093
24,V24,2005-10-08,435,191,0.43908045977011495,0.560919540229885
25,V25,2005-10-10,441,191,0.4331065759637188,0.5668934240362812
26,V26,2005-10-12,449,195,0.43429844097995546,0.5657015590200445
27,V27,2005-10-14,454,194,0.42731277533039647,0.5726872246696035
28,V28,2005-10-15,455,187,0.41098901098901097,0.589010989010989
29,V29,2005-10-16,466,193,0.41416309012875535,0.5858369098712446
30,V30,2005-10-18,472,197,0.4173728813559322,0.5826271186440678
31,V31,2005-10-20,479,196,0.4091858037578288,0.5908141962421711
32,V32,2005-11-12,486,200,0.411522633744856,0.588477366255144
33,V1,2025-09-10,488,202,0.4139344262295082,0.5860655737704918
34,V1,2025-09-11,490,204,0.4163265306122449,0.5836734693877551
35,V2,2025-09-17,491,204,0.4154786150712831,0.584521384928717
36,V2,2025-09-18,492,205,0.4166666666666667,0.5833333333333333
37,V3,2025-09-24,492,204,0.4146341463414634,0.5853658536585367
38,V3,2025-09-25,493,205,0.4158215010141988,0.5841784989858012
39,V4,2025-10-01,493,204,0.41379310344827586,0.5862068965517242
40,V4,2025-10-02,493,203,0.4117647058823529,0.5882352941176471
41,V5,2025-10-08,493,203,0.4117647058823529,0.5882352941176471
42,V5,2025-10-09,494,204,0.41295546558704455,0.5870445344129555
43,V6,2025-10-15,495,205,0.41414141414141414,0.5858585858585859
44,V6,2025-10-16,496,206,0.4153225806451613,0.5846774193548387
45,V7,2025-10-22,497,207,0.4164989939637827,0.5835010060362174
46,V7,2025-10-23,498,208,0.41767068273092367,0.5823293172690763
47,V8,2025-10-30,498,207,0.41566265060240964,0.5843373493975903
